Ticker,Name,Sector,Industry
FVI,Fortuna Mining Corp.,Basic Materials,Metals & Mining
FNV,Franco-Nevada Corporation,Basic Materials,Metals & Mining
FRU,Freehold Royalties Ltd.,Energy,Oil & Gas Exploration and Production
WN,George Weston Limited,Consumer Staples,Retailers - Staples
GFL,GFL Environmental Inc.,Industrials,Waste Management
GEI,Gibson Energy Inc.,Energy,Oil & Gas Storage/Transport
GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel & Accessories
GSY,goeasy Ltd.,Financial Services,Credit Services
GRT.UN,Granite Real Estate Investment Trust,Real Estate,REITs
GWO,Great-West Lifeco Inc.,Financial Services,Insurance
HR.UN,H&R Real Estate Investment Trust,Real Estate,REITs
HWX,Headwater Exploration Inc.,Energy,Oil & Gas Exploration and Production
HBM,Hudbay Minerals Inc.,Basic Materials,Metals & Mining
H,Hydro One Limited,Utilities,Regulated Utilities
IAG,iA Financial Corporation Inc.,Financial Services,Insurance
IMG,Iamgold Corporation,Basic Materials,Metals & Mining
IGM,IGM Financial Inc.,Financial Services,Asset Management
IMO,Imperial Oil Limited,Energy,Integrated Oil & Gas
INE,Innergex Renewable Energy Inc.,Energy,Renewable Energy Producers
IFC,Intact Financial Corporation,Financial Services,Insurance
IFP,Interfor Corporation,Basic Materials,Forest Products
IPCO,International Petroleum Corporation,Energy,Oil & Gas Exploration and Production
IIP.UN,InterRent Real Estate Investment Trust,Real Estate,REITs
IVN,Ivanhoe Mines Ltd.,Basic Materials,Metals & Mining
JWEL,Jamieson Wellness Inc.,Consumer Staples,Consumer Packaged Goods
KNT,K92 Mining Inc.,Basic Materials,Metals & Mining
KEL,Kelt Exploration Ltd.,Energy,Oil & Gas Exploration and Production
KEY,Keyera Corp.,Energy,Oil & Gas Storage/Transport
KMP.UN,Killam Apartment Real Estate Investment Trust,Real Estate,REITs
KXS,Kinaxis Inc.,Information Technology,Software
K,Kinross Gold Corporation,Basic Materials,Metals & Mining
LIF,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel
LB,Laurentian Bank of Canada,Financial Services,Banks
LSPD,Lightspeed Commerce Inc.,Information Technology,Software
LNR,Linamar Corporation,Consumer Cyclical,Vehicles & Parts
L,Loblaw Companies Limited,Consumer Staples,Retailers - Staples
LUG,Lundin Gold Inc.,Basic Materials,Metals & Mining
LUN,Lundin Mining Corporation,Basic Materials,Metals & Mining
MAG,MAG Silver Corp.,Basic Materials,Metals & Mining
MG,Magna International Inc.,Consumer Cyclical,Vehicles & Parts
MFC,Manulife Financial Corporation,Financial Services,Insurance
MFI,Maple Leaf Foods Inc.,Consumer Staples,Consumer Packaged Goods
MATR,Mattr Corp.,Energy,Oil & Gas Equipment & Services
MDA,MDA Space Ltd.,Industrials,Aerospace & Defense
MEG,MEG Energy Corp.,Energy,Oil & Gas Exploration and Production
MX,Methanex Corporation,Basic Materials,Chemicals
MRU,Metro Inc.,Consumer Staples,Retailers - Staples
MTY,MTY Food Group Inc.,Consumer Cyclical,Restaurants
MTL,Mullen Group Ltd.,Industrials,Transportation
NA,National Bank of Canada,Financial Services,Banks
NGD,New Gold Inc.,Basic Materials,Metals & Mining
NXE,NexGen Energy Ltd.,Energy,Other Energy Sources
NFI,NFI Group Inc.,Consumer Cyclical,Vehicles & Parts
NWC,North West Company Inc.,Consumer Staples,Retailers - Staples
NPI,Northland Power Inc.,Energy,Renewable Energy Producers
NWH.UN,NorthWest Healthcare Properties Real Estate Investment Trust,Real Estate,REITs
NG,NovaGold Resources Inc.,Basic Materials,Metals & Mining
NTR,Nutrien Ltd.,Basic Materials,Agriculture
NVEI,Nuvei Corporation,Information Technology,Software
NVA,NuVista Energy Ltd.,Energy,Oil & Gas Exploration and Production
OGC,OceanaGold Corporation,Basic Materials,Metals & Mining
ONEX,Onex Corporation,Financial Services,Asset Management
OTEX,Open Text Corporation,Information Technology,Software
OLA,Orla Mining Ltd.,Basic Materials,Metals & Mining
OR,Osisko Gold Royalties Ltd.,Basic Materials,Metals & Mining
OSK,Osisko Mining Inc.,Basic Materials,Metals & Mining
PAAS,Pan American Silver Corp.,Basic Materials,Metals & Mining
POU,Paramount Resources Ltd.,Energy,Oil & Gas Exploration and Production
PXT,Parex Resources Inc.,Energy,Oil & Gas Exploration and Production
PKI,Parkland Corporation,Energy,Oil & Gas Refining & Marketing
PSI,Pason Systems Inc.,Energy,Oil & Gas Equipment & Services
PPL,Pembina Pipeline Corporation,Energy,Oil & Gas Storage/Transport
PET,Pet Valu Holdings Ltd.,Consumer Cyclical,Retail - Discretionary
PEY,Peyto Exploration & Development Corp.,Energy,Oil & Gas Exploration and Production
POW,Power Corporation of Canada,Financial Services,Insurance
PSK,PrairieSky Royalty Ltd.,Energy,Oil & Gas Exploration and Production
PD,Precision Drilling Corporation,Energy,Oil & Gas Drilling
PBH,Premium Brands Holdings Corporation,Consumer Staples,Consumer Packaged Goods
PMZ.UN,Primaris Real Estate Investment Trust,Real Estate,REITs
PRMW,Primo Water Corporation,Consumer Staples,Non-Alcoholic Beverages
QBR.B,Quebecor Inc.,Communication Services,Telecommunication Services
QSR,Restaurant Brands International Inc.,Consumer Cyclical,Restaurants
RCH,Richelieu Hardware Ltd.,Consumer Cyclical,Home and Homeware
REI.UN,RioCan Real Estate Investment Trust,Real Estate,REITs
RCI.B,Rogers Communications Inc.,Communication Services,Telecommunication Services
RY,Royal Bank of Canada,Financial Services,Banks
RUS,Russel Metals Inc.,Industrials,Industrial Distribution
SSL,Sandstorm Gold Ltd.,Basic Materials,Metals & Mining
SAP,Saputo Inc.,Consumer Staples,Consumer Packaged Goods
SEA,Seabridge Gold Inc.,Basic Materials,Metals & Mining
SES,Secure Energy Services Inc.,Industrials,Waste Management
SHOP,Shopify Inc.,Information Technology,Software
SIA,Sienna Senior Living Inc.,Healthcare,Healthcare Providers & Services
SIL,SilverCrest Metals Inc.,Basic Materials,Metals & Mining
SRU.UN,SmartCentres Real Estate Investment Trust,Real Estate,REITs
SOBO,South Bow Corporation,Energy,Oil & Gas Storage/Transport
TOY,Spin Master Corp.,Consumer Cyclical,Travel & Leisure
SII,Sprott Inc.,Financial Services,Asset Management
SSRM,SSR Mining Inc.,Basic Materials,Metals & Mining
STN,Stantec Inc.,Industrials,Construction
STLC,Stelco Holdings Inc.,Basic Materials,Steel
SJ,Stella-Jones Inc.,Basic Materials,Forest Products
SVI,StorageVault Canada Inc.,Real Estate,Real Estate
SLF,Sun Life Financial Inc.,Financial Services,Insurance
SU,Suncor Energy Inc.,Energy,Integrated Oil & Gas
SPB,Superior Plus Corp.,Utilities,Regulated Utilities
TVE,Tamarack Valley Energy Ltd.,Energy,Oil & Gas Exploration and Production
TRP,TC Energy Corporation,Energy,Oil & Gas Storage/Transport
TECK.B,Teck Resources Limited,Basic Materials,Metals & Mining
T,Telus Corporation,Communication Services,Telecommunication Services
TFII,TFI International Inc.,Industrials,Transportation
TRI,Thomson Reuters Corporation,Industrials,Business Services
TLRY,Tilray Brands Inc.,Healthcare,Drug Manufacturers
X,TMX Group Limited,Financial Services,Capital Markets
TPZ,Topaz Energy Corp.,Energy,Oil & Gas Storage/Transport
TXG,Torex Gold Resources Inc.,Basic Materials,Metals & Mining
TIH,Toromont Industries Ltd.,Industrials,Industrial Distribution
TD,Toronto-Dominion Bank,Financial Services,Banks
TOU,Tourmaline Oil Corp.,Energy,Oil & Gas Exploration and Production
TA,TransAlta Corporation,Utilities,Independent Power Producers
TCL.A,Transcontinental Inc.,Consumer Cyclical,Packaging & Containers
TFPM,Triple Flag Precious Metals Corp.,Basic Materials,Metals & Mining
TSU,Trisura Group Ltd.,Financial Services,Insurance
VRN,Veren Inc.,Energy,Oil & Gas Exploration and Production
VET,Vermilion Energy Inc.,Energy,Oil & Gas Exploration and Production
WCN,Waste Connections Inc.,Industrials,Waste Management
WDO,Wesdome Gold Mines Ltd.,Basic Materials,Metals & Mining
WFG,West Fraser Timber Co. Ltd.,Basic Materials,Forest Products
WPM,Wheaton Precious Metals Corp.,Basic Materials,Metals & Mining
WCP,Whitecap Resources Inc.,Energy,Oil & Gas Exploration and Production
WPK,Winpak Ltd.,Consumer Cyclical,Packaging & Containers
WSP,WSP Global Inc.,Industrials,Construction
